127.0.0.1 - - [09/Mar/2021:14:24:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:24:48 +0900] "GET /javagg/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:24:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:26:37 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:26:45 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:29:17 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:29:17 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:29:58 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:29:58 +0900] "GET /assets/img/mainpic.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:18 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:18 +0900] "GET /assets/img/mainpic.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:18 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:18 +0900] "GET /assets/img/mainpic.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:19 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:19 +0900] "GET /assets/img/mainpic.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:22 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:22 +0900] "GET /assets/img/mainpic.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:22 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:22 +0900] "GET /assets/img/mainpic.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:23 +0900] "GET /javagg/layout/home.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Mar/2021:14:30:23 +0900] "GET /assets/img/mainpic.png HTTP/1.1" 404 837
